Ping_ID,Shipment_ID,Waypoint_Seq,Recorded_At,Vehicle_Speed_KMH,Instantaneous_Temp_C,Ambient_Temp_C,Compressor_Power_KW,Door_State
PING-1108,SHP-1011,8,2026-03-02 09:18:00,64,3.32,28.66,2.4,CLOSED
PING-1109,SHP-1011,9,2026-03-02 10:02:00,74,3.22,28.9,2.4,CLOSED
PING-1110,SHP-1011,10,2026-03-02 10:43:00,55,3.22,30.7,2.4,CLOSED
PING-1201,SHP-1012,1,2026-03-02 06:00:00,70,3.43,25.42,2.4,CLOSED
PING-1202,SHP-1012,2,2026-03-02 06:43:00,61,3.39,25.72,2.4,CLOSED
PING-1203,SHP-1012,3,2026-03-02 07:20:00,0,6.78,25.98,4.8,OPEN
PING-1204,SHP-1012,4,2026-03-02 08:09:00,50,5.58,27.04,2.4,CLOSED
PING-1205,SHP-1012,5,2026-03-02 08:57:00,46,4.38,26.24,2.4,CLOSED
PING-1206,SHP-1012,6,2026-03-02 09:35:00,77,4.12,26.16,2.4,CLOSED
PING-1207,SHP-1012,7,2026-03-02 10:30:00,0,6.58,28.14,4.8,OPEN
PING-1208,SHP-1012,8,2026-03-02 11:24:00,64,5.38,26.98,2.4,CLOSED
PING-1209,SHP-1012,9,2026-03-02 12:09:00,56,4.18,29.5,2.4,CLOSED
PING-1210,SHP-1012,10,2026-03-02 13:04:00,49,4.46,28.41,2.4,CLOSED
PING-1211,SHP-1012,11,2026-03-02 14:02:00,47,4.27,28.47,2.4,CLOSED
PING-1212,SHP-1012,12,2026-03-02 14:51:00,49,4.48,28.76,2.4,CLOSED
PING-1301,SHP-1013,1,2026-03-02 08:00:00,65,3.78,38.67,2.4,CLOSED
PING-1302,SHP-1013,2,2026-03-02 08:58:00,56,3.86,38.8,2.4,CLOSED
PING-1303,SHP-1013,3,2026-03-02 09:52:00,0,7.27,40.96,4.8,OPEN
PING-1304,SHP-1013,4,2026-03-02 10:49:00,71,6.07,38.86,2.4,CLOSED
PING-1305,SHP-1013,5,2026-03-02 11:31:00,53,4.87,42.12,2.4,CLOSED
PING-1306,SHP-1013,6,2026-03-02 12:06:00,63,3.67,42.22,2.4,CLOSED
PING-1307,SHP-1013,7,2026-03-02 13:02:00,0,6.36,42.55,4.8,OPEN
PING-1308,SHP-1013,8,2026-03-02 13:39:00,72,5.16,38.73,2.4,CLOSED
PING-1309,SHP-1013,9,2026-03-02 14:23:00,71,3.96,38.85,2.4,CLOSED
PING-1310,SHP-1013,10,2026-03-02 15:03:00,68,4.09,41.56,2.4,CLOSED
PING-1401,SHP-1014,1,2026-03-02 10:00:00,50,4.46,32.15,2.4,CLOSED
PING-1402,SHP-1014,2,2026-03-02 10:50:00,69,4.41,34.12,2.4,CLOSED
PING-1403,SHP-1014,3,2026-03-02 11:48:00,48,4.38,34.4,2.4,CLOSED
PING-1404,SHP-1014,4,2026-03-02 12:43:00,75,4.15,33.76,2.4,CLOSED
PING-1405,SHP-1014,5,2026-03-02 13:30:00,58,4.2,29.28,2.4,CLOSED
PING-1406,SHP-1014,6,2026-03-02 14:13:00,45,4.38,30.81,2.4,CLOSED
PING-1407,SHP-1014,7,2026-03-02 14:57:00,75,4.4,30.88,2.4,CLOSED
PING-1408,SHP-1014,8,2026-03-02 15:40:00,59,4.54,30.22,2.4,CLOSED
PING-1501,SHP-1015,1,2026-03-02 12:00:00,60,3.65,32.74,2.4,CLOSED
PING-1502,SHP-1015,2,2026-03-02 12:44:00,64,3.85,30.92,2.4,CLOSED
PING-1503,SHP-1015,3,2026-03-02 13:36:00,62,3.87,31.95,2.4,CLOSED
PING-1504,SHP-1015,4,2026-03-02 14:23:00,48,4.03,31.14,2.4,CLOSED
PING-1505,SHP-1015,5,2026-03-02 14:59:00,53,4.18,34.24,2.4,CLOSED
PING-1506,SHP-1015,6,2026-03-02 15:47:00,77,4.36,33.92,2.4,CLOSED
PING-1507,SHP-1015,7,2026-03-02 16:43:00,63,4.3,30.7,2.4,CLOSED
PING-1508,SHP-1015,8,2026-03-02 17:22:00,64,4.3,31.17,2.4,CLOSED
PING-1509,SHP-1015,9,2026-03-02 18:11:00,63,4.53,33.26,2.4,CLOSED
PING-1510,SHP-1015,10,2026-03-02 19:06:00,77,3.33,32.62,2.4,CLOSED
PING-1511,SHP-1015,11,2026-03-02 20:01:00,76,3.61,30.08,2.4,CLOSED
PING-1512,SHP-1015,12,2026-03-02 20:46:00,47,3.5,32.78,2.4,CLOSED
PING-1601,SHP-1016,1,2026-03-02 14:00:00,63,2.49,43.2,2.4,CLOSED
PING-1602,SHP-1016,2,2026-03-02 14:46:00,60,2.3,40.6,2.4,CLOSED
PING-1603,SHP-1016,3,2026-03-02 15:39:00,0,5.92,39.99,4.8,OPEN
PING-1604,SHP-1016,4,2026-03-02 16:19:00,66,4.72,40.1,2.4,CLOSED
PING-1605,SHP-1016,5,2026-03-02 16:57:00,74,3.52,41.58,2.4,CLOSED
PING-1606,SHP-1016,6,2026-03-02 17:49:00,72,2.32,40.69,2.4,CLOSED
PING-1607,SHP-1016,7,2026-03-02 18:44:00,0,5.42,38.15,4.8,OPEN
PING-1608,SHP-1016,8,2026-03-02 19:29:00,61,4.22,41.74,2.4,CLOSED
PING-1609,SHP-1016,9,2026-03-02 20:06:00,49,3.02,39.23,2.4,CLOSED
PING-1610,SHP-1016,10,2026-03-02 20:47:00,53,3.16,41.26,2.4,CLOSED
PING-1701,SHP-1017,1,2026-03-02 16:00:00,60,4.14,25.73,2.4,CLOSED
PING-1702,SHP-1017,2,2026-03-02 16:48:00,72,3.94,28.91,2.4,CLOSED
PING-1703,SHP-1017,3,2026-03-02 17:46:00,65,3.73,26.86,2.4,CLOSED
PING-1704,SHP-1017,4,2026-03-02 18:29:00,58,3.64,28.13,2.4,CLOSED
PING-1705,SHP-1017,5,2026-03-02 19:18:00,47,3.62,24.68,2.4,CLOSED
PING-1706,SHP-1017,6,2026-03-02 19:53:00,45,3.9,24.82,2.4,CLOSED
PING-1707,SHP-1017,7,2026-03-02 20:35:00,76,4.08,28.6,2.4,CLOSED
PING-1708,SHP-1017,8,2026-03-02 21:27:00,47,4.09,29.52,2.4,CLOSED
PING-1709,SHP-1017,9,2026-03-02 22:20:00,70,4.17,28.23,2.4,CLOSED
PING-1710,SHP-1017,10,2026-03-02 23:10:00,74,4.46,27.81,2.4,CLOSED
PING-1711,SHP-1017,11,2026-03-03 00:02:00,67,4.19,24.49,2.4,CLOSED
PING-1712,SHP-1017,12,2026-03-03 00:51:00,63,4.49,26.85,2.4,CLOSED
PING-1801,SHP-1018,1,2026-03-02 18:00:00,66,3.77,42.67,2.4,CLOSED
PING-1802,SHP-1018,2,2026-03-02 18:48:00,73,3.73,40.91,2.4,CLOSED
PING-1803,SHP-1018,3,2026-03-02 19:34:00,0,8.1,38.61,4.8,OPEN
PING-1804,SHP-1018,4,2026-03-02 20:13:00,57,6.9,43.74,2.4,CLOSED
PING-1805,SHP-1018,5,2026-03-02 20:49:00,45,5.7,38.9,2.4,CLOSED
PING-1806,SHP-1018,6,2026-03-02 21:26:00,46,4.5,41.25,2.4,CLOSED
PING-1807,SHP-1018,7,2026-03-02 22:15:00,0,7.01,40.8,4.8,OPEN
PING-1808,SHP-1018,8,2026-03-02 22:52:00,56,5.81,41.48,2.4,CLOSED
PING-1809,SHP-1018,9,2026-03-02 23:45:00,45,4.61,41.18,2.4,CLOSED
PING-1810,SHP-1018,10,2026-03-03 00:27:00,73,3.41,42.55,2.4,CLOSED
PING-1811,SHP-1018,11,2026-03-03 01:16:00,75,3.28,38.86,2.4,CLOSED
PING-1812,SHP-1018,12,2026-03-03 01:53:00,49,3.21,43.87,2.4,CLOSED
PING-1901,SHP-1019,1,2026-03-02 20:00:00,62,3.38,27.24,2.4,CLOSED
PING-1902,SHP-1019,2,2026-03-02 20:59:00,60,3.62,27.97,2.4,CLOSED
PING-1903,SHP-1019,3,2026-03-02 21:52:00,74,3.34,29.27,2.4,CLOSED
PING-1904,SHP-1019,4,2026-03-02 22:38:00,54,3.27,27.16,2.4,CLOSED
PING-1905,SHP-1019,5,2026-03-02 23:14:00,46,3.48,26.35,2.4,CLOSED
PING-1906,SHP-1019,6,2026-03-03 00:12:00,54,3.62,25.93,2.4,CLOSED
PING-1907,SHP-1019,7,2026-03-03 00:47:00,46,3.74,27.47,2.4,CLOSED
PING-1908,SHP-1019,8,2026-03-03 01:46:00,74,3.51,29.99,2.4,CLOSED
PING-1909,SHP-1019,9,2026-03-03 02:22:00,62,3.74,29.53,2.4,CLOSED
PING-1910,SHP-1019,10,2026-03-03 03:11:00,62,3.84,29.29,2.4,CLOSED
PING-2001,SHP-1020,1,2026-03-02 22:00:00,45,4.27,30.42,2.4,CLOSED
PING-2002,SHP-1020,2,2026-03-02 22:50:00,65,4.56,30.27,2.4,CLOSED
PING-2003,SHP-1020,3,2026-03-02 23:40:00,0,7.76,33.13,4.8,OPEN
PING-2004,SHP-1020,4,2026-03-03 00:17:00,70,6.56,31.82,2.4,CLOSED
PING-2005,SHP-1020,5,2026-03-03 01:16:00,56,5.36,32.32,2.4,CLOSED
PING-2006,SHP-1020,6,2026-03-03 02:14:00,48,4.16,33.99,2.4,CLOSED
PING-2007,SHP-1020,7,2026-03-03 03:06:00,0,6.14,30.5,4.8,OPEN
PING-2008,SHP-1020,8,2026-03-03 03:58:00,47,4.94,32.04,2.4,CLOSED
PING-2009,SHP-1020,9,2026-03-03 04:41:00,46,5.01,33.63,2.4,CLOSED
PING-2010,SHP-1020,10,2026-03-03 05:40:00,76,3.81,32.96,2.4,CLOSED
PING-2101,SHP-1021,1,2026-03-03 00:00:00,76,2.43,36.77,2.4,CLOSED
PING-2102,SHP-1021,2,2026-03-03 00:53:00,73,2.68,41.9,2.4,CLOSED
PING-2103,SHP-1021,3,2026-03-03 01:47:00,0,5.63,38.32,4.8,OPEN
PING-2104,SHP-1021,4,2026-03-03 02:30:00,68,4.43,40.7,2.4,CLOSED
PING-2105,SHP-1021,5,2026-03-03 03:10:00,73,3.23,40.53,2.4,CLOSED
PING-2106,SHP-1021,6,2026-03-03 03:59:00,62,3.21,37.48,2.4,CLOSED
PING-2107,SHP-1021,7,2026-03-03 04:39:00,0,5.25,37.45,4.8,OPEN
PING-2108,SHP-1021,8,2026-03-03 05:25:00,62,4.05,36.7,2.4,CLOSED
PING-2109,SHP-1021,9,2026-03-03 06:19:00,54,2.85,41.62,2.4,CLOSED
PING-2110,SHP-1021,10,2026-03-03 07:18:00,60,2.66,36.61,2.4,CLOSED
PING-2201,SHP-1022,1,2026-03-03 02:00:00,68,4.61,28.65,2.4,CLOSED
PING-2202,SHP-1022,2,2026-03-03 02:38:00,63,4.37,24.63,2.4,CLOSED
PING-2203,SHP-1022,3,2026-03-03 03:25:00,56,4.2,28.8,2.4,CLOSED
PING-2204,SHP-1022,4,2026-03-03 04:23:00,62,3.94,29.38,2.4,CLOSED
PING-2205,SHP-1022,5,2026-03-03 05:00:00,56,4.13,26.3,2.4,CLOSED
PING-2206,SHP-1022,6,2026-03-03 05:59:00,67,3.95,29.05,2.4,CLOSED
PING-2207,SHP-1022,7,2026-03-03 06:35:00,76,4.05,25.21,2.4,CLOSED
PING-2208,SHP-1022,8,2026-03-03 07:32:00,65,4.11,27.9,2.4,CLOSED
PING-2301,SHP-1023,1,2026-03-03 04:00:00,73,-19.88,38.93,2.4,CLOSED
PING-2302,SHP-1023,2,2026-03-03 04:36:00,45,-20.08,40.13,2.4,CLOSED
PING-2303,SHP-1023,3,2026-03-03 05:19:00,0,-16.87,39.25,4.8,OPEN
PING-2304,SHP-1023,4,2026-03-03 05:56:00,58,-18.07,37.75,2.4,CLOSED
PING-2305,SHP-1023,5,2026-03-03 06:41:00,51,-19.27,41.16,2.4,CLOSED
PING-2306,SHP-1023,6,2026-03-03 07:20:00,58,-18.99,41.19,2.4,CLOSED
PING-2307,SHP-1023,7,2026-03-03 08:10:00,0,-15.28,40.76,4.8,OPEN
PING-2308,SHP-1023,8,2026-03-03 08:57:00,62,-16.48,39.37,2.4,CLOSED
PING-2309,SHP-1023,9,2026-03-03 09:46:00,45,-17.68,38.72,2.4,CLOSED
PING-2310,SHP-1023,10,2026-03-03 10:36:00,64,-18.88,40.9,2.4,CLOSED
PING-2311,SHP-1023,11,2026-03-03 11:27:00,77,-20.08,38.1,2.4,CLOSED
PING-2312,SHP-1023,12,2026-03-03 12:10:00,60,-20.15,41.14,2.4,CLOSED
PING-2401,SHP-1024,1,2026-03-03 06:00:00,49,2.52,35.44,2.4,CLOSED
PING-2402,SHP-1024,2,2026-03-03 06:46:00,47,2.36,31.04,2.4,CLOSED
PING-2403,SHP-1024,3,2026-03-03 07:33:00,0,5.04,34.67,4.8,OPEN
PING-2404,SHP-1024,4,2026-03-03 08:18:00,53,3.84,33.5,2.4,CLOSED
PING-2405,SHP-1024,5,2026-03-03 09:10:00,50,2.64,31.03,2.4,CLOSED
PING-2406,SHP-1024,6,2026-03-03 09:45:00,66,2.78,32.72,2.4,CLOSED
PING-2407,SHP-1024,7,2026-03-03 10:41:00,0,6.67,33.33,4.8,OPEN
PING-2408,SHP-1024,8,2026-03-03 11:37:00,51,5.47,30.73,2.4,CLOSED
PING-2501,SHP-1025,1,2026-03-03 08:00:00,45,3.42,28.79,2.4,CLOSED
PING-2502,SHP-1025,2,2026-03-03 08:52:00,67,3.24,32.43,2.4,CLOSED
PING-2503,SHP-1025,3,2026-03-03 09:29:00,0,6.79,29.54,4.8,OPEN
PING-2504,SHP-1025,4,2026-03-03 10:25:00,50,5.59,30.91,2.4,CLOSED
PING-2505,SHP-1025,5,2026-03-03 11:20:00,76,4.39,30.86,2.4,CLOSED
PING-2506,SHP-1025,6,2026-03-03 12:07:00,73,4.46,30.24,2.4,CLOSED
PING-2507,SHP-1025,7,2026-03-03 12:42:00,0,8.68,30.89,4.8,OPEN
PING-2508,SHP-1025,8,2026-03-03 13:33:00,52,7.48,30.72,2.4,CLOSED
PING-2509,SHP-1025,9,2026-03-03 14:17:00,66,6.28,27.69,2.4,CLOSED
PING-2510,SHP-1025,10,2026-03-03 15:08:00,77,5.08,27.37,2.4,CLOSED
PING-2511,SHP-1025,11,2026-03-03 16:07:00,58,3.88,31.89,2.4,CLOSED
PING-2512,SHP-1025,12,2026-03-03 17:01:00,69,3.92,31.93,2.4,CLOSED
PING-2601,SHP-1026,1,2026-03-03 10:00:00,67,3.22,33.88,2.4,CLOSED
PING-2602,SHP-1026,2,2026-03-03 10:46:00,73,3.15,33.32,2.4,CLOSED
PING-2603,SHP-1026,3,2026-03-03 11:32:00,56,2.87,32.56,2.4,CLOSED
PING-2604,SHP-1026,4,2026-03-03 12:16:00,62,2.92,33.81,2.4,CLOSED
PING-2605,SHP-1026,5,2026-03-03 13:10:00,68,3.11,35.73,2.4,CLOSED
PING-2606,SHP-1026,6,2026-03-03 13:45:00,45,2.93,34.03,2.4,CLOSED
PING-2607,SHP-1026,7,2026-03-03 14:42:00,75,2.78,30.8,2.4,CLOSED
PING-2608,SHP-1026,8,2026-03-03 15:40:00,48,2.69,33.14,2.4,CLOSED
PING-2609,SHP-1026,9,2026-03-03 16:21:00,55,2.56,34.89,2.4,CLOSED
PING-2610,SHP-1026,10,2026-03-03 17:09:00,65,2.45,34.41,2.4,CLOSED
PING-2701,SHP-1027,1,2026-03-03 12:00:00,66,4.25,35.8,2.4,CLOSED
PING-2702,SHP-1027,2,2026-03-03 12:44:00,70,4.49,37.9,2.4,CLOSED
PING-2703,SHP-1027,3,2026-03-03 13:25:00,0,7.08,38.87,4.8,OPEN
PING-2704,SHP-1027,4,2026-03-03 14:21:00,67,5.88,39.29,2.4,CLOSED
PING-2705,SHP-1027,5,2026-03-03 15:15:00,49,4.68,37.17,2.4,CLOSED
PING-2706,SHP-1027,6,2026-03-03 15:53:00,73,4.52,37.44,2.4,CLOSED
PING-2707,SHP-1027,7,2026-03-03 16:41:00,0,6.78,36.56,4.8,OPEN
PING-2708,SHP-1027,8,2026-03-03 17:21:00,51,5.58,38.35,2.4,CLOSED
PING-2709,SHP-1027,9,2026-03-03 18:02:00,65,4.38,35.16,2.4,CLOSED
PING-2710,SHP-1027,10,2026-03-03 18:40:00,64,4.24,38.56,2.4,CLOSED
PING-2801,SHP-1028,1,2026-03-03 14:00:00,66,3.88,26.66,2.4,CLOSED
PING-2802,SHP-1028,2,2026-03-03 14:49:00,52,3.99,27.68,2.4,CLOSED
PING-2803,SHP-1028,3,2026-03-03 15:28:00,57,3.72,27.17,2.4,CLOSED
PING-2804,SHP-1028,4,2026-03-03 16:27:00,56,3.69,28.36,2.4,CLOSED
PING-2805,SHP-1028,5,2026-03-03 17:04:00,65,3.97,29.32,2.4,CLOSED
PING-2806,SHP-1028,6,2026-03-03 17:43:00,58,3.92,29.69,2.4,CLOSED
PING-2807,SHP-1028,7,2026-03-03 18:18:00,77,3.8,27.78,2.4,CLOSED
PING-2808,SHP-1028,8,2026-03-03 19:02:00,77,3.57,25.28,2.4,CLOSED
